iteration,cost,wirecount,intersectioncount,time_per_iteration,cumulative_time
0,4235,1535,9,102.2327573299408,102.2327573299408
iteration,cost,wirecount,intersectioncount,time_per_iteration,cumulative_time
0,4235,1535,9,102.2327573299408,102.2327573299408
1,4234,1534,9,0.007996797561645508,102.24075412750244
1001,4233,1533,9,7.6765055656433105,109.91725969314575
2001,4231,1531,9,7.71749210357666,117.63475179672241
3001,4229,1529,9,7.681503534317017,125.31625533103943
4001,4227,1527,9,7.670507431030273,132.9867627620697
5001,4224,1524,9,7.670507192611694,140.6572699546814
6001,4221,1521,9,7.670507192611694,148.3277771472931
7001,4217,1517,9,7.639517784118652,155.96729493141174
8001,3911,1511,8,7.5975306034088135,163.56482553482056
9001,3903,1503,8,7.538550138473511,171.10337567329407
10001,3896,1496,8,7.496563673019409,178.59993934631348
11001,3589,1489,7,7.501562118530273,186.10150146484375
12001,3584,1484,7,7.444580793380737,193.5460822582245
13001,3576,1476,7,7.465574264526367,201.01165652275085
14001,3266,1466,6,7.426586389541626,208.43824291229248
15001,3256,1456,6,7.36660623550415,215.80484914779663
16001,3246,1446,6,7.360607624053955,223.1654567718506
17001,2638,1438,4,7.315622806549072,230.48107957839966
18001,2628,1428,4,7.2886316776275635,237.76971125602722
19001,2320,1420,3,7.2166547775268555,244.98636603355408
20001,2314,1414,3,7.21065616607666,252.19702219963074
21001,2306,1406,3,7.191663026809692,259.38868522644043
22001,2283,1383,3,7.198660850524902,266.58734607696533
23001,1962,1362,2,7.078699350357056,273.6660454273224
24001,1938,1338,2,6.9957263469696045,280.661771774292
25001,1916,1316,2,6.924749851226807,287.5865216255188
26001,1892,1292,2,6.864769458770752,294.45129108428955
27001,1868,1268,2,6.753805160522461,301.205096244812
28001,1841,1241,2,6.6588356494903564,307.86393189430237
29001,1816,1216,2,6.583860635757446,314.4477925300598
30001,1503,1203,1,6.502886533737183,320.950679063797
31001,1480,1180,1,6.445905447006226,327.3965845108032
32001,1453,1153,1,6.378927230834961,333.7755117416382
33001,1430,1130,1,6.308949708938599,340.0844614505768
34001,1406,1106,1,6.387923955917358,346.47238540649414
35001,1378,1078,1,6.211999893188477,352.6843852996826
36001,1354,1054,1,5.988035678863525,358.67242097854614
37001,1324,1024,1,5.965062856674194,364.63748383522034
38001,993,993,0,5.862093687057495,370.49957752227783
39001,962,962,0,5.725139141082764,376.2247166633606
40001,937,937,0,5.629170894622803,381.8538875579834
41001,914,914,0,5.529202938079834,387.38309049606323
42001,887,887,0,5.452228307723999,392.83531880378723
43001,856,856,0,5.3452630043029785,398.1805818080902
44001,835,835,0,5.24229621887207,403.4228780269623
45001,818,818,0,5.1833155155181885,408.60619354248047
46001,796,796,0,5.100342512130737,413.7065360546112
47001,778,778,0,5.0413618087768555,418.74789786338806
48001,750,750,0,4.971384763717651,423.7192826271057
49001,715,715,0,4.8714165687561035,428.5906991958618
50001,676,676,0,4.763452053070068,433.3541512489319
51001,647,647,0,4.611501216888428,437.9656524658203
52001,620,620,0,4.5225300788879395,442.48818254470825
53001,597,597,0,4.427561521530151,446.9157440662384
54001,566,566,0,4.309599161148071,451.2253432273865
55001,532,532,0,4.220628976821899,455.4459722042084
56001,500,500,0,4.1276586055755615,459.57363080978394
57001,472,472,0,4.003699064254761,463.5773298740387
58001,436,436,0,3.981705904006958,467.55903577804565
59001,406,406,0,3.7827706336975098,471.34180641174316
60001,388,388,0,3.6738064289093018,475.01561284065247
61001,363,363,0,3.6138253211975098,478.62943816185
62001,323,323,0,3.495882034301758,482.12532019615173
63001,288,288,0,3.3598899841308594,485.4852101802826
64001,260,260,0,3.2479445934295654,488.73315477371216
65001,230,230,0,3.146977186203003,491.88013195991516
66001,188,188,0,3.0450103282928467,494.925142288208
67001,150,150,0,2.9040560722351074,497.8291983604431
68001,114,114,0,2.758104085922241,500.58730244636536
69001,70,70,0,2.6511573791503906,503.23845982551575
