iteration,cost,wirecount,intersectioncount
0,16146,246,53
1,31320,420,103
2,43058,458,142
3,49368,468,163
4,63570,570,210
5,57508,508,190
6,8250,150,27
7,6466,166,21
8,29764,364,98
9,39730,430,131
10,48514,514,160
11,23366,266,77
12,25870,370,85
13,7084,184,23
14,3434,134,11
15,14732,332,48
16,42758,458,141
17,42776,476,141
18,9918,318,32
19,33400,400,110
20,11030,230,36
21,76220,620,252
22,33684,384,111
23,35242,442,116
24,18324,324,60
25,37008,408,122
26,7904,104,26
27,23682,282,78
28,5628,228,18
29,15862,262,52
30,14980,280,49
31,74122,622,245
32,17436,336,57
33,8590,190,28
34,49400,500,163
35,10672,172,35
36,16802,302,55
37,24328,328,80
38,47590,490,157
39,43980,480,145
40,9762,162,32
41,4942,142,16
42,27956,356,92
43,29100,300,96
44,62648,548,207
45,11546,146,38
46,21594,294,71
47,52700,500,174
48,15260,260,50
49,18872,272,62
50,36698,398,121
51,42416,416,140
52,10728,228,35
53,12540,240,41
54,31304,404,103
55,38524,424,127
56,48798,498,161
57,21352,352,70
58,58678,478,194
59,33142,442,109
60,38526,426,127
61,10120,220,33
62,20682,282,68
63,40330,430,133
64,10104,204,33
65,31004,404,102
66,62980,580,208
67,24252,252,80
68,13802,302,45
69,9854,254,32
70,27658,358,91
71,26390,290,87
72,5992,292,19
73,16468,268,54
74,21314,314,70
75,12464,164,41
76,22770,270,75
77,20466,366,67
78,11926,226,39
79,37948,448,125
80,18038,338,59
81,37288,388,123
82,30402,402,100
83,17102,302,56
84,19528,328,64
85,20088,288,66
86,22404,204,74
87,29162,362,96
88,24590,290,81
89,63524,524,210
90,11666,266,38
91,33380,380,110
92,23778,378,78
93,1912,112,6
94,61446,546,203
95,55710,510,184
96,39768,468,131
97,39364,364,130
98,45104,404,149
99,41870,470,138
100,11972,272,39
101,49706,506,164
102,34884,384,115
103,48504,504,160
104,28262,362,93
105,10994,194,36
106,29468,368,97
107,74376,576,246
108,10056,156,33
109,3440,140,11
110,18568,268,61
111,22520,320,74
112,35180,380,116
113,21264,264,70
114,7122,222,23
115,23094,294,76
116,26718,318,88
117,12550,250,41
118,4982,182,16
119,16464,264,54
120,25800,300,85
121,33406,406,110
122,49980,480,165
123,53004,504,175
124,31570,370,104
125,22230,330,73
126,42124,424,139
127,8242,142,27
128,18296,296,60
129,41852,452,138
130,34304,404,113
131,50266,466,166
132,80152,652,265
133,3162,162,10
134,28918,418,95
135,15542,242,51
136,40316,416,133
137,34592,392,114
138,21932,332,72
139,20124,324,66
140,3414,114,11
141,33458,458,110
142,19532,332,64
143,34290,390,113
144,36110,410,119
145,7706,206,25
146,11078,278,36
147,9818,218,32
148,36384,384,120
149,10448,248,34
150,20084,284,66
151,29802,402,98
152,42412,412,140
153,31582,382,104
154,6476,176,21
155,24016,316,79
156,8926,226,29
157,12272,272,40
158,32174,374,106
159,41550,450,137
160,16152,252,53
161,15794,194,52
162,11846,146,39
163,4022,122,13
164,37898,398,125
165,29986,286,99
166,33070,370,109
167,61474,574,203
168,40938,438,135
169,20984,284,69
170,33986,386,112
171,11654,254,38
172,7058,158,23
173,29132,332,96
174,18278,278,60
175,50882,482,168
176,7016,116,23
177,58434,534,193
178,27048,348,89
179,31854,354,105
180,30040,340,99
181,33698,398,111
182,61124,524,202
183,40940,440,135
184,26138,338,86
185,27958,358,92
186,19774,274,65
187,34616,416,114
188,35838,438,118
189,52428,528,173
190,38474,374,127
191,48464,464,160
192,19140,240,63
193,17110,310,56
194,32800,400,108
195,71970,570,238
196,20440,340,67
197,38540,440,127
198,34350,450,113
199,8342,242,27
200,25870,370,85
201,38792,392,128
202,13410,210,44
203,19474,274,64
204,10988,188,36
205,42454,454,140
206,6720,120,22
207,34290,390,113
208,33962,362,112
209,37350,450,123
210,90382,682,299
211,77120,620,255
212,25874,374,85
213,11080,280,36
214,22532,332,74
215,31594,394,104
216,14976,276,49
217,16188,288,53
218,30982,382,102
219,35206,406,116
220,39116,416,129
221,37304,404,123
222,52984,484,175
223,49408,508,163
224,8256,156,27
225,20744,344,68
226,17914,214,59
227,31292,392,103
228,47576,476,157
229,35542,442,117
230,32832,432,108
231,19792,292,65
232,5280,180,17
233,19834,334,65
234,7482,282,24
235,15856,256,52
236,47864,464,158
237,41516,416,137
238,17956,256,59
239,29500,400,97
240,45450,450,150
