iteration,cost,wirecount,intersectioncount
0,3819139,15139,12680
1,3803187,15087,12627
2,3798673,15073,12612
3,3795059,15059,12600
4,3744793,14893,12433
5,3740277,14877,12418
6,3734257,14857,12398
7,3730645,14845,12386
8,3728237,14837,12378
9,3726431,14831,12372
10,3725829,14829,12370
11,3629809,14509,12051
12,3626197,14497,12039
13,3605127,14427,11969
14,3603321,14421,11963
15,3600613,14413,11954
16,3590077,14377,11919
17,3589475,14375,11917
18,3582251,14351,11893
19,3579241,14341,11883
20,3572619,14319,11861
21,3567803,14303,11845
22,3565997,14297,11839
23,3562385,14285,11827
24,3561783,14283,11825
25,3561181,14281,11823
26,3547335,14235,11777
27,3536499,14199,11741
28,3523857,14157,11699
29,3523255,14155,11697
30,3522653,14153,11695
31,3506399,14099,11641
32,3505797,14097,11639
33,3504593,14093,11635
34,3487737,14037,11579
35,3487437,14037,11578
36,3481115,14015,11557
37,3480513,14013,11555
38,3479911,14011,11553
39,3479309,14009,11551
40,3478707,14007,11549
41,3476299,13999,11541
42,3475697,13997,11539
43,3473289,13989,11531
44,3469677,13977,11519
45,3467871,13971,11513
46,3427237,13837,11378
47,3391717,13717,11260
48,3361617,13617,11160
49,3359811,13611,11154
50,3356199,13599,11142
51,3342955,13555,11098
52,3341751,13551,11094
53,3341149,13549,11092
54,3339945,13545,11088
55,3338139,13539,11082
56,3310747,13447,10991
57,3284259,13359,10903
58,3281851,13351,10895
59,3279443,13343,10887
60,3278239,13339,10883
61,3241813,13213,10762
62,3208101,13101,10650
63,3200877,13077,10626
64,3199673,13073,10622
65,3199071,13071,10620
66,3196061,13061,10610
67,3195459,13059,10608
68,3194255,13055,10604
69,3174089,12989,10537
70,3146695,12895,10446
71,3127431,12831,10382
72,3116595,12795,10346
73,3114789,12789,10340
74,3113585,12785,10336
75,3109371,12771,10322
76,3086191,12691,10245
77,3085589,12689,10243
78,3084987,12687,10241
79,3084385,12685,10239
80,3054287,12587,10139
81,3048567,12567,10120
82,3040439,12539,10093
83,3039235,12535,10089
84,3001007,12407,9962
85,2963985,12285,9839
86,2951345,12245,9797
87,2939001,12201,9756
88,2935991,12191,9746
89,2933583,12183,9738
90,2931777,12177,9732
91,2931175,12175,9730
92,2929971,12171,9726
93,2886927,12027,9583
94,2885723,12023,9579
95,2693981,11381,8942
96,2671705,11305,8868
97,2671103,11303,8866
98,2668093,11293,8856
99,2618727,11127,8692
100,2576585,10985,8552
101,2573877,10977,8543
102,2571769,10969,8536
103,2503141,10741,8308
104,2481769,10669,8237
105,2478457,10657,8226
106,2477855,10655,8224
107,2476049,10649,8218
108,2475447,10647,8216
109,2459483,10583,8163
110,2452861,10561,8141
111,2451055,10555,8135
112,2447443,10543,8123
113,2446841,10541,8121
114,2428789,10489,8061
115,2419449,10449,8030
116,2413429,10429,8010
117,2404399,10399,7980
118,2397777,10377,7958
119,2394767,10367,7948
120,2393563,10363,7944
121,2393561,10361,7944
122,2358043,10243,7826
123,2355635,10235,7818
124,2346605,10205,7788
125,2344799,10199,7782
126,2338781,10181,7762
127,2309581,10081,7665
128,2306571,10071,7655
129,2303261,10061,7644
130,2302359,10059,7641
131,2301153,10053,7637
132,2299949,10049,7633
133,2299347,10047,7631
134,2298745,10045,7629
135,2298143,10043,7627
136,2297541,10041,7625
137,2293327,10027,7611
138,2291521,10021,7605
139,2290919,10019,7603
140,2231623,9823,7406
141,2226505,9805,7389
142,2203631,9731,7313
143,2195801,9701,7287
144,2185567,9667,7253
145,2184965,9665,7251
146,2184363,9663,7249
147,2161493,9593,7173
148,2150951,9551,7138
149,2128677,9477,7064
150,2125667,9467,7054
151,2080209,9309,6903
152,2070877,9277,6872
153,2063051,9251,6846
154,2056429,9229,6824
155,2053419,9219,6814
156,2052215,9215,6810
157,2051613,9213,6808
158,2022717,9117,6712
159,2005559,9059,6655
160,2002549,9049,6645
161,1991717,9017,6609
162,1983583,8983,6582
163,1980875,8975,6573
164,1973951,8951,6550
165,1973047,8947,6547
166,1968231,8931,6531
167,1965221,8921,6521
168,1939033,8833,6434
169,1937227,8827,6428
170,1936023,8823,6424
171,1935421,8821,6422
172,1934819,8819,6420
173,1840287,8487,6106
174,1820721,8421,6041
175,1813195,8395,6016
176,1805669,8369,5991
177,1803863,8363,5985
178,1802659,8359,5981
179,1762021,8221,5846
180,1754195,8195,5820
181,1751787,8187,5812
182,1751185,8185,5810
183,1672317,7917,5548
184,1639505,7805,5439
185,1631679,7779,5413
186,1630475,7775,5409
187,1516061,7361,5029
188,1464883,7183,4859
189,1461873,7173,4849
