iteration,cost,wirecount,intersectioncount
0,3819139,15139,12680
1,2763521,11621,9173
2,3733053,14853,12394
3,3927205,15505,13039
4,3715599,14799,12336
5,3661117,14617,12155
6,3429045,13845,11384
7,3155427,12927,10475
8,3405569,13769,11306
9,3546433,14233,11774
10,3632213,14513,12059
11,3454627,13927,11469
12,3280043,13343,10889
13,3811317,15117,12654
14,3800479,15079,12618
15,3673455,14655,12196
16,3896503,15403,12937
17,3584363,14363,11900
18,3752917,14917,12460
19,4245655,16555,14097
20,4013585,15785,13326
21,2995003,12403,9942
22,3477505,14005,11545
23,4142417,16217,13754
24,4203521,16421,13957
25,3686401,14701,12239
26,3312255,13455,10996
27,4255597,16597,14130
28,3040747,12547,10094
29,3032917,12517,10068
30,3440485,13885,11422
31,3190043,13043,10590
32,3718911,14811,12347
33,3616869,14469,12008
34,2806565,11765,9316
35,3471475,13975,11525
36,3866703,15303,12838
37,3187339,13039,10581
38,3267411,13311,10847
39,4304959,16759,14294
40,3568711,14311,11848
41,3361313,13613,11159
42,4022921,15821,13357
43,3613861,14461,11998
44,3522937,14137,11696
45,4280879,16679,14214
46,3691517,14717,12256
47,3990413,15713,13249
48,3157243,12943,10481
49,3077771,12671,10217
50,3395931,13731,11274
51,3171989,12989,10530
52,3640347,14547,12086
53,3928703,15503,13044
54,3053695,12595,10137
55,3762229,14929,12491
56,3881145,15345,12886
57,3237301,13201,10747
58,3398333,13733,11282
59,2985957,12357,9912
60,3355601,13601,11140
61,3017567,12467,10017
62,3490449,14049,11588
63,3720719,14819,12353
64,3292979,13379,10932
65,3235803,13203,10742
66,3421221,13821,11358
67,3568407,14307,11847
68,3999143,15743,13278
69,3788129,15029,12577
70,3754125,14925,12464
71,3747507,14907,12442
72,3674949,14649,12201
73,3297801,13401,10948
74,3048559,12559,10120
75,3315865,13465,11008
76,3402551,13751,11296
77,3604827,14427,11968
78,3503393,14093,11631
79,3381177,13677,11225
80,3917267,15467,13006
81,4001849,15749,13287
82,3738473,14873,12412
83,4179743,16343,13878
84,2819175,11775,9358
85,3191539,13039,10595
86,3747505,14905,12442
87,3447699,13899,11446
88,3535897,14197,11739
89,3518137,14137,11680
90,3485935,14035,11573
91,4141217,16217,13750
92,2787889,11689,9254
93,4205029,16429,13962
94,3383883,13683,11234
95,4345293,16893,14428
96,3913049,15449,12992
97,3354397,13597,11136
98,3919673,15473,13014
99,3192763,13063,10599
100,3574119,14319,11866
101,3975957,15657,13201
102,3717397,14797,12342
103,3737265,14865,12408
104,3876031,15331,12869
105,3948271,15571,13109
106,3506097,14097,11640
107,3426629,13829,11376
108,3412781,13781,11330
109,3280939,13339,10892
110,3367925,13625,11181
111,3221947,13147,10696
112,3460349,13949,11488
113,3330915,13515,11058
114,2755961,11561,9148
115,2668381,11281,8857
116,3472365,13965,11528
117,3281549,13349,10894
118,3463347,13947,11498
119,4067469,15969,13505
120,3413997,13797,11334
121,3819133,15133,12680
122,3548241,14241,11780
123,3445301,13901,11438
124,3516327,14127,11674
125,3151217,12917,10461
126,3005207,12407,9976
127,4297437,16737,14269
128,3295395,13395,10940
129,3298101,13401,10949
130,3786637,15037,12572
131,3329709,13509,11054
132,3611147,14447,11989
133,3351683,13583,11127
134,3228881,13181,10719
135,3353493,13593,11133
136,3842919,15219,12759
137,3929009,15509,13045
138,3609945,14445,11985
139,3876631,15331,12871
140,3900711,15411,12951
141,3631919,14519,12058
142,3512723,14123,11662
143,3962721,15621,13157
144,3437167,13867,11411
145,4069879,15979,13513
146,3475695,13995,11539
147,3842617,15217,12758
148,4173123,16323,13856
149,3509409,14109,11651
150,3955191,15591,13132
151,4171015,16315,13849
152,3346265,13565,11109
153,3282757,13357,10898
154,3536497,14197,11741
155,3482923,14023,11563
156,4058139,15939,13474
157,3600015,14415,11952
158,3921179,15479,13019
159,3137367,12867,10415
160,3524155,14155,11700
161,3475099,13999,11537
162,3135853,12853,10410
163,3513621,14121,11665
164,4027131,15831,13371
165,3979275,15675,13212
166,3803793,15093,12629
167,3320385,13485,11023
168,3259573,13273,10821
169,3179513,13013,10555
170,3610547,14447,11987
171,3283963,13363,10902
172,3686703,14703,12240
173,4397361,17061,14601
174,3768269,14969,12511
175,3374263,13663,11202
176,3875431,15331,12867
177,3417907,13807,11347
178,4126467,16167,13701
179,3650577,14577,12120
180,3279433,13333,10887
181,4020215,15815,13348
182,3644861,14561,12101
183,3528079,14179,11713
184,3512417,14117,11661
185,3649985,14585,12118
186,3659917,14617,12151
187,3633113,14513,12062
188,3314965,13465,11005
189,3345365,13565,11106
190,3535903,14203,11739
191,4131283,16183,13717
192,3288777,13377,10918
193,3428127,13827,11381
194,3410979,13779,11324
195,3036227,12527,10079
196,4433783,17183,14722
197,3169571,12971,10522
198,3697237,14737,12275
199,3287567,13367,10914
200,3752919,14919,12460
201,3432057,13857,11394
202,3752921,14921,12460
203,3338443,13543,11083
204,3140985,12885,10427
205,3593087,14387,11929
206,2951039,12239,9796
207,3427827,13827,11380
208,3630113,14513,12052
209,4102687,16087,13622
210,2923359,12159,9704
211,3450109,13909,11454
212,4316399,16799,14332
213,3766167,14967,12504
214,3845031,15231,12766
215,3251435,13235,10794
216,3649065,14565,12115
217,3443185,13885,11431
218,4195995,16395,13932
219,3063323,12623,10169
220,3851949,15249,12789
221,4281181,16681,14215
222,3999745,15745,13280
223,3662923,14623,12161
224,3586773,14373,11908
225,3036817,12517,10081
226,3629509,14509,12050
227,3721015,14815,12354
228,3937737,15537,13074
229,3741481,14881,12422
230,4061443,15943,13485
231,3514227,14127,11667
232,3831481,15181,12721
233,3593693,14393,11931
234,3155423,12923,10475
235,3611149,14449,11989
236,3466071,13971,11507
237,3409773,13773,11320
238,3546435,14235,11774
239,3074159,12659,10205
240,3854959,15259,12799
241,3474199,13999,11534
242,4245363,16563,14096
243,3618377,14477,12013
244,3258973,13273,10819
245,3636437,14537,12073
246,3536195,14195,11740
247,3749913,14913,12450
248,3015771,12471,10011
249,2957369,12269,9817
250,3956101,15601,13135
251,3304129,13429,10969
252,3296589,13389,10944
253,3232181,13181,10730
254,3465767,13967,11506
255,3269209,13309,10853
256,3390813,13713,11257
257,3070235,12635,10192
258,3536193,14193,11740
259,3167771,12971,10516
260,3479313,14013,11551
261,3624083,14483,12032
262,3495865,14065,11606
263,3619877,14477,12018
264,3430251,13851,11388
265,3758641,14941,12479
266,3018161,12461,10019
267,3561791,14291,11825
268,3809213,15113,12647
269,4347097,16897,14434
270,3235797,13197,10742
271,2920629,12129,9695
272,3557273,14273,11810
273,4119541,16141,13678
274,3180997,12997,10560
275,3664129,14629,12165
276,3454613,13913,11469
277,4129775,16175,13712
278,3480815,14015,11556
279,2915827,12127,9679
280,3323995,13495,11035
281,3488327,14027,11581
282,3186439,13039,10578
283,3659913,14613,12151
284,3326701,13501,11044
285,3566601,14301,11841
286,4165899,16299,13832
287,3820941,15141,12686
288,3820947,15147,12686
289,3464261,13961,11501
290,4116533,16133,13668
291,4064463,15963,13495
292,3950681,15581,13117
293,3864595,15295,12831
294,3643059,14559,12095
295,3648773,14573,12114
296,3898007,15407,12942
297,3467267,13967,11511
298,3991313,15713,13252
299,3332419,13519,11063
300,3861585,15285,12821
301,3252341,13241,10797
302,3103949,12749,10304
303,3408869,13769,11317
304,4334459,16859,14392
305,4188771,16371,13908
306,3167775,12975,10516
307,3381175,13675,11225
308,3211711,13111,10662
309,3362525,13625,11163
310,3579549,14349,11884
311,3496757,14057,11609
312,4347101,16901,14434
313,4298335,16735,14272
314,3527463,14163,11711
315,3599115,14415,11949
316,3660219,14619,12152
317,3341747,13547,11094
318,3168369,12969,10518
319,4141513,16213,13751
320,3227673,13173,10715
321,3335435,13535,11073
322,3604827,14427,11968
323,4107503,16103,13638
324,3336019,13519,11075
325,3575931,14331,11872
326,3681583,14683,12223
327,4148435,16235,13774
328,3396523,13723,11276
329,3379381,13681,11219
330,3654193,14593,12132
331,3585853,14353,11905
332,4396763,17063,14599
333,3716193,14793,12338
334,3518435,14135,11681
335,3736669,14869,12406
336,3323685,13485,11034
337,3214723,13123,10672
338,4599641,17741,15273
339,3473893,13993,11533
340,3363113,13613,11165
341,3571415,14315,11857
342,4326331,16831,14365
343,3579243,14343,11883
344,4058725,15925,13476
345,3683093,14693,12228
346,3657803,14603,12144
347,3751417,14917,12455
348,3767365,14965,12508
349,4090339,16039,13581
350,3008535,12435,9987
351,3615363,14463,12003
352,3501885,14085,11626
353,3850749,15249,12785
354,3429649,13849,11386
355,4073191,15991,13524
356,3421515,13815,11359
357,4613483,17783,15319
358,3923891,15491,13028
359,3212625,13125,10665
360,3383893,13693,11234
361,3520531,14131,11688
362,3161747,12947,10496
363,3016071,12471,10012
364,3230085,13185,10723
365,3338135,13535,11082
366,3703559,14759,12296
367,3644555,14555,12100
368,3371249,13649,11192
369,3860083,15283,12816
370,3498879,14079,11616
371,3682179,14679,12225
372,3216821,13121,10679
373,2892649,12049,9602
374,3640049,14549,12085
