iteration,cost,wirecount,intersectioncount
0,99706,706,330
1,94278,678,312
2,84034,634,278
3,81024,624,268
4,80722,622,267
5,80120,620,265
6,79518,618,263
7,68046,546,225
8,67144,544,222
9,66842,542,221
10,56292,492,186
11,56290,490,186
12,55690,490,184
13,55688,488,184
14,54484,484,180
15,53882,482,178
16,45136,436,149
17,40916,416,135
18,40914,414,135
19,40616,416,134
20,40318,418,133
21,40312,412,133
22,40018,418,132
23,40014,414,132
24,39108,408,129
25,36096,396,119
26,35494,394,117
27,27960,360,92
28,27362,362,90
29,24950,350,82
30,19216,316,63
31,15914,314,52
32,15300,300,50
33,14712,312,48
34,14710,310,48
35,14410,310,47
36,14400,300,47
37,9408,108,31
38,9108,108,30
39,8806,106,29
40,8204,104,27
41,7922,122,26
42,7910,110,26
43,7612,112,25
44,7364,164,24
45,6380,80,21
46,6114,114,20
47,6094,94,20
48,5822,122,19
49,5568,168,18
50,5530,130,18
51,5224,124,17
52,5216,116,17
53,5212,112,17
54,4324,124,14
55,4008,108,13
56,4006,106,13
57,3716,116,12
58,3710,110,12
59,3708,108,12
60,2822,122,9
61,2814,114,9
62,2526,126,8
63,2226,126,7
64,1648,148,5
65,1636,136,5
66,1336,136,4
67,1038,138,3
68,1032,132,3
69,750,150,2
70,746,146,2
71,740,140,2
72,724,124,2
73,690,90,2
74,408,108,1
75,394,94,1
76,392,92,1
77,390,90,1
78,384,84,1
79,378,78,1
80,374,74,1
81,372,72,1
82,366,66,1
83,364,64,1
84,76,76,0
85,74,74,0
86,70,70,0
87,68,68,0
88,66,66,0
89,64,64,0
90,62,62,0
91,58,58,0
